@id,@lat,@lon,name
2503292836,41.1173318,20.8013975,Sparkasse
3002669249,41.1170154,20.8011697,Bank
3076974771,41.1133624,20.8018224,NLB Tutunska banka
3826400403,41.1105418,20.8057809,Комерцијална Банка
3826400413,41.1128603,20.8020711,Централна Кооперативна Банка
3826400437,41.1121132,20.8023248,Стопанска Банка
5835784828,41.1122749,20.8093098,Охридска Банка
6831648813,41.1146636,20.8010875,Силк Роуд Банка
6831648887,41.1125729,20.7981056,Stolanska
6833101188,41.1142269,20.8009712,УНИ Банка
6833103499,41.1165093,20.8035054,Stopanska
6833103500,41.1164415,20.8037474,Halk
6837039891,41.1167204,20.8013015,Шпаркасе
6837039895,41.1173478,20.8153988,Охридска Банка
7139350143,41.1124099,20.8041418,Шпаркасе
9161032921,41.1155785,20.8014077,TTK
9161043717,41.1135356,20.8011070,Uni
